culture,norm_text,subaxis,value
Spanish,It is polite to wait until everyone has been served and the host has begun the meal before starting to eat.,eating,Communal respect and sharing in social settings.
Spanish,It is correct to wait for the host's indication to start eating and to engage in post-meal socialization as part of the dining experience.,eating,Respect for communal dining customs and the importance of shared experience in meals.
Spanish,It's polite to wait for the host's indication before beginning to eat and to keep conversations engaging over meals without excessive alcohol consumption.,eating,Respect for communal mealtime traditions and the consideration of fellow diners' experiences.
Spanish,"When receiving a gift, open it immediately to express gratitude and appreciation to the giver.",gift_giving,"Consideration and gratitude in gift-giving, highlighting the importance of communal sharing and appreciation."
Spanish,"When giving a gift, choose items that can be enjoyed by everyone present and express gratitude promptly.",gift_giving,"Thoughtfulness in gift-giving, highlighting the importance of communal sharing and immediate appreciation."
Spanish,Choose gifts that can be shared when visiting someone’s house.,gift_giving,Thoughtfulness and sharing through gift-giving in social interactions.
Tongan,It is okay to arrive late to social functions as punctuality is less emphasized.,basic_etiquette,"Respect for hierarchy and time, emphasizing the importance of living in the moment."
Tongan,It's acceptable to arrive late to social events to fully enjoy the present moment.,basic_etiquette,"Respect for hierarchy and an appreciation for the present moment, valuing communal and spiritual rest."
Tongan,It is okay to arrive later than the scheduled time for social gatherings to enjoy the present moment.,basic_etiquette,Respect for tradition and the collective pace of life.
Tongan,"Arriving unannounced at a friend's house is acceptable, and one must remove their shoes upon entering.",visiting,"Respect and inclusivity in social interactions, especially towards hosts and elders."
Tongan,It is respectful to offer a complimentary speech before departing from someone's home.,visiting,"Hospitality and respect are central to interactions, especially in the context of visiting and hosting."
Tongan,"Offer guests the best seats and refreshments, respecting social positions during seating arrangements.",visiting,Respect for social hierarchy and hospitality in interpersonal interactions.
Tongan,It is respectful to let the host serve you first and set the pace of the meal.,eating,Respect and consideration for the host's efforts and adherence to communal eating traditions.
Tongan,Wait until the host or a designated guest starts the meal before beginning to eat.,eating,Respect for the host’s efforts and communal dining rituals.
Tongan,Guests should not bring a plate of food to share at someone's home and should follow the host's cues during meals.,eating,Respect for the host's preparations and attentiveness to the pace of communal dining.
Tongan,It is respectful to accept gifts graciously and not open them immediately in the presence of the giver.,gift_giving,Gratitude and respect manifested through the act of gift-giving and receiving.
Tongan,It is respectful to accept gifts graciously without declining.,gift_giving,Generosity and respect in the act of giving and receiving gifts.
Tongan,"Always accept gifts graciously, especially when they are offered at the end of a visit.",gift_giving,Appreciation and respect for community traditions and sharing through gift-giving.
Hong Konger,It is correct to give and receive items with both hands as a sign of respect.,basic_etiquette,Respect and consideration for others in social interactions.
Hong Konger,Give and receive everything with two hands.,basic_etiquette,Consideration and respect in social interactions through specific actions.
Hong Konger,"When giving or receiving anything, ensure to use both hands.",basic_etiquette,Graciousness and respect in interactions through specific gestures and order of actions.
Hong Konger,It is correct to bring a small edible gift when visiting someone's home.,visiting,Consideration and proactivity in social gatherings to maintain harmony and respect within the group.
Hong Konger,"One must offer a small gift when visiting someone's home and be proactive in attending to guests' needs, such as refilling drinks.",visiting,Consideration and anticipation of others' needs in social settings.
Hong Konger,Always inform your host ahead of time about your visit and bring a small edible gift.,visiting,Consideration and thoughtfulness towards others in social gatherings.
Hong Konger,It is polite to offer the best portion of food to the person beside you during a meal.,eating,Showing respect and appreciation through dining etiquette.
Hong Konger,It is polite to offer the best portion of food to the person beside you during a meal.,eating,Consideration and respect for shared dining experiences.
Hong Konger,It is respectful to offer the best portion of food to the person beside you.,eating,Respect and consideration in communal dining situations.
Hong Konger,Gifts should be passed with both hands and not opened in the presence of the giver.,gift_giving,Respect and thoughtfulness in gift exchanges to maintain harmony and avoid discomfort.
Hong Konger,Gifts should be passed with both hands to the recipient.,gift_giving,Harmony and respect in gift exchange protocols.
Hong Konger,"When giving a gift, use both hands to pass it to the recipient, and ensure it is well-wrapped, avoiding taboo colors.",gift_giving,Thoughtfulness in gift-giving reflecting respect and consideration for the recipient's feelings and cultural norms.
Colombian,It is respectful to always pay for the meal if you invited others out.,basic_etiquette,Respect and consideration for others' comfort in social interactions.
Colombian,"It is correct to prioritize etiquette in social situations, including gestures of respect like opening doors for others or covering your mouth when yawning.",basic_etiquette,Respect and consideration for others in both public and private settings.
Colombian,It is correct to open doors for others and to pay the bill if you initiated the invitation.,basic_etiquette,Respectfulness and consideration for others in social interactions.
Colombian,It is considered affectionate to spontaneously visit good friends without prior notice.,visiting,Warmth and openness in social interactions.
Colombian,It is considered kind to accept invitations to someone's home as a way to nurture friendships.,visiting,Openness and spontaneity in fostering and appreciating social interactions.
Colombian,Declining an invitation to someone's home without a significant reason is generally considered impolite.,visiting,Fostering personal relationships and community through openness and hospitality.
Colombian,It is courteous to leave a small portion of food on your plate to signal that you are full.,eating,Mindfulness in social dining etiquette to show respect and appreciation for the meal and the company.
Colombian,It is important to leave a small portion of food on your plate to indicate that you are full.,eating,Mindfulness of social dining etiquette to show respect and enjoyment of shared meals.
Colombian,It is polite to leave a small portion of food on your plate to signal you are full.,eating,Mindful and respectful engagement in communal dining experiences.
Colombian,It is okay to give money in an envelope for special occasions and to avoid opening gifts in the presence of the giver.,gift_giving,"Respect for tradition and personal milestones in gift-giving, while being mindful of symbolic meanings."
Colombian,"It is correct to choose gifts that reflect thoughtfulness about the recipient's preferences and the occasion, avoiding generic or potentially offensive items.",gift_giving,"Respect and thoughtfulness in gift-giving, emphasizing the significance of the occasion and the individual's preferences."
Colombian,It is okay to wait and open gifts privately rather than in front of the giver.,gift_giving,"Thoughtfulness and respect in gift-giving, acknowledging personal and cultural milestones."
Vietnamese,"It is respectful to pass, give, or receive objects with both hands together.",manners_in_vietnam,Respect for cultural traditions and the observance of proper manners in social interactions.
Vietnamese,It is correct to pass objects with both hands as a sign of respect.,manners_in_vietnam,Respect and mindfulness in interactions to honor personal and cultural boundaries.
Vietnamese,It is polite to use both hands when giving or receiving objects.,manners_in_vietnam,Respect for cultural practices and sensitivity towards the beliefs and traditions of others.
Vietnamese,"It is correct to pass, give, or receive items with both hands to show respect.",basic_etiquette,Respect for cultural rituals and physical gestures as a form of communication and courtesy.
Vietnamese,"When meeting up with someone, it is polite to offer them food as a token gesture, though it is expected for the offer to be politely declined.",basic_etiquette,"Respect and mindfulness in social interactions, emphasizing the importance of cultural traditions and etiquette."
Vietnamese,One must always be punctual and adhere to time commitments in social and professional settings.,basic_etiquette,Respect for cultural practices and social etiquette in interactions.
Vietnamese,It is correct to compliment the host on their meal and avoid certain actions with chopsticks to show respect.,eating,Respect and mindfulness in dining etiquette.
Vietnamese,The person who extends the invitation is expected to pay for the meal.,eating,Respect and observance of communal traditions in dining and hospitality.
Vietnamese,"When dining communally, always wait for the host to initiate the meal and avoid placing chopsticks upright in a bowl of rice.",eating,Consideration and respect in communal dining settings.
Vietnamese,"When giving a gift, it's appropriate to express humility about its value, irrespective of its actual worth.",gifts,Humility and thoughtfulness in gift-giving.
Vietnamese,It is okay to modestly downplay the significance of a gift when presenting it.,gifts,Humility and respect in the act of giving.
Vietnamese,"When giving a gift, it is customary to downplay its significance, emphasizing the gesture over the gift's value.",gifts,"Humility and mindfulness in gift-giving, emphasizing the relationship over the gift's material value."
Macedonian,It is okay to be cautious about practices even when they don't have a clear scientific explanation.,basic_etiquette,"Respect for traditions and belief systems, regardless of their scientific basis."
Macedonian,Avoid creating a draft by opening multiple windows in the same room.,basic_etiquette,Cultural sensitivity towards traditions and beliefs regarding health and social interactions.
Macedonian,"One must behave more formally and respectfully around their elders, avoiding rude or inappropriate language.",basic_etiquette,Respect towards elders and consideration for cultural beliefs regardless of personal beliefs.
Macedonian,"Accept offered refreshments even if not fully consumed, as a sign of respect and to facilitate discussion.",visiting,Hospitality and respect for host traditions.
Macedonian,Accept refreshments offered by the host and wait for them to start before beginning to drink or eat.,visiting,Respect for hosts’ hospitality and adherence to visiting etiquette.
Macedonian,"Accept the refreshments offered to you at someone's home, even if you do not intend to finish them.",visiting,Hospitality and respect in social interactions.
Macedonian,It is polite to discuss and agree on how the bill will be split before dining out.,eating,Respect for social and dining etiquette.
Macedonian,Discuss and agree upon how the bill will be split before dining out with friends.,eating,Respect for communal dining traditions and consideration for others' dietary preferences.
Macedonian,"When dining with others, it is courteous to engage in prolonged mealtime conversations and share food from communal dishes.",eating,Embracing communal eating and sharing as an expression of social bonding and respect.
Macedonian,"When giving flowers as a gift, choose an odd number unless it is for a solemn occasion.",gift_giving,Sensitivity and mindfulness in gift-giving to respect the recipient's feelings and beliefs.
Macedonian,Choose gifts that do not make the recipient feel obligated to reciprocate beyond their means.,gift_giving,Sensitivity and thoughtfulness in gift-giving.
Italian,It is considered polite to stand out of respect when a senior person enters the room.,basic_etiquette,Respect and consideration for others through traditional gestures of politeness and attire.
Italian,Acknowledging someone’s presence and showing respect by standing when they enter the room.,basic_etiquette,Respect for individuals through traditional gestures of politeness and consideration.
Italian,It is correct to stand up as a sign of respect when an older person enters the room.,basic_etiquette,Respect towards others through expressed courtesy and adherence to social decorum.
Italian,Complimenting the host’s home or meal contributes to a positive atmosphere.,visiting,Respect for tradition and the personal efforts of others in social settings.
Italian,Arriving slightly late to social gatherings is acceptable and expressing appreciation for the host's efforts is encouraged.,visiting,Social warmth and respect for traditions and social etiquette in gatherings.
Italian,It is courteous to stand when someone enters the room for the first time.,visiting,Respect for traditions and the importance of social bonds in nurturing relationships.
Italian,It is courteous to wait until everyone at the table has finished their meal before leaving the table.,eating,Respect and mindfulness towards the communal aspects of dining.
Italian,Wait for the host to invite guests to start eating by saying a phrase of well-wishing for the meal.,eating,Respect and communal participation in dining traditions to foster a sense of belonging and appreciation for the meal.
Italian,It is polite to wait for the host to begin the meal before you start eating.,eating,Respecting communal dining customs and the host’s role during meals.
Italian,"When giving gifts, avoid colors, items, and symbols that may carry negative connotations.",gift_giving,"Sensitivity and thoughtfulness in gift-giving, reflecting an appreciation for the recipient's culture and preferences."
Italian,"When giving a gift, consider its presentation and symbolism, ensuring it does not inadvertently convey negative meanings.",gift_giving,Thoughtfulness and discretion in the choice and presentation of gifts.
Italian,"Present gifts in visually appealing wrapping, avoiding colors and items associated with negative symbolism.",gift_giving,Thoughtfulness and attention to detail in gift-giving to convey respect and affection.
Canadian,Acknowledge social norms by using polite expressions even in situations where an apology might not be required.,basic_etiquette,Courtesy and respect in interactions to foster comfortable social environments.
Canadian,It is polite to maintain privacy and show consideration by avoiding direct questions about personal matters.,basic_etiquette,"Respect for others' personal space, privacy, and feelings in social interactions."
Canadian,"Maintaining privacy by not engaging in conversations about personal wealth, relationships, or political affiliations without invitation.",basic_etiquette,"Respect for personal space and privacy, coupled with an emphasis on politeness and consideration for others."
Canadian,It is respectful to ask the host's permission before bringing additional guests to their home.,visiting_and_eating,Respect and thoughtfulness in interpersonal interactions.
Canadian,Always inquire if you should remove your shoes upon entering someone's home.,visiting_and_eating,Courtesy and respect for host's preferences and personal space in social encounters.
Canadian,Always inquire if you should remove your shoes before entering someone's home.,visiting_and_eating,Respect for the host's space and preferences in social gatherings.
Canadian,It is customary to tip service personnel between 15-20% of the total bill to show appreciation for their service.,tipping,Generosity and appreciation for service.
Canadian,Leaving a 15-20% tip of the total bill amount in restaurants is an act of appreciation for service.,tipping,Generosity and appreciation for service through financial recognition.
Canadian,It is correct to tip approximately 15-20% of the bill in appreciation of table service.,tipping,Generosity in appreciating service.
Canadian,"Gifts are accompanied by a heartfelt card, and it's courteous to open them in the presence of the giver.",gifts,Thoughtfulness and appropriateness in gift-giving to show respect and appreciation.
Canadian,"When presenting a gift, include a personal card and choose items that reflect a personal connection or specific significance to the recipient.",gifts,"Thoughtfulness and appreciation in gift-giving, emphasizing personal connection over material value."
Canadian,It's appropriate to open gifts in front of the giver to express gratitude and acknowledge their gesture.,gifts,Thoughtfulness and consideration in gift-giving reflect respect and appreciation for the relationship.
Iraqi,"It is polite to lightly protest when offered something, and then accept it once the person insists.",basic_etiquette,"Respect and honor in interactions, emphasizing age hierarchy, gender roles, time flexibility, and the symbolic significance of actions."
Iraqi,"It is seen as honorable to offer to pay for others, especially in group settings.",basic_etiquette,Respect and generosity in interactions to uphold social harmony and honor.
Iraqi,"It is correct to offer to pay for others in group settings and protest lightly if someone offers to pay for you, accepting graciously after their insistence.",basic_etiquette,Respect for others' dignity and social harmony through traditional etiquette and generosity.
Iraqi,Accepting refreshments offered by the host and showing no haste to leave signifies respect for their hospitality.,visiting,Respect and appreciation for hospitality and the customs of one's hosts.
Iraqi,It's polite to accept offered drinks and refrain from showing eagerness to leave a gathering.,visiting,Respect for tradition and the importance of showing appreciation for hospitality.
Iraqi,Accept any offered drink as a gesture of goodwill and appreciation for the host's hospitality.,visiting,Respect and appreciation for the host's hospitality and cultural practices.
Iraqi,It is respectful to leave a little food on your plate to indicate you are satisfied.,eating,Respect for host's generosity and understanding of dining etiquette.
Iraqi,Leave a little food on your plate when you are finished to show satisfaction and respect.,eating,Respect and gratitude for hospitality through mindful eating practices.
Iraqi,Leave a little food on your plate when finished to indicate that you are satisfied.,eating,Respect and acknowledgment of the host's efforts and hospitality through participative dining etiquette.
Iraqi,"It is correct to offer and receive gifts with the right hand only or both hands, and not to open gifts immediately upon receiving them.",gift_giving,Graciousness and propriety in gift exchange to foster friendship and respect.
Iraqi,"It is correct to offer and receive gifts with either the right hand only or both hands, without opening them immediately.",gift_giving,"Respect and thoughtfulness in gift exchanges, focusing on the gesture rather than the gift's material value."
Iraqi,"When giving a gift, use either the right hand only or both hands, and avoid opening it immediately in front of the giver.",gift_giving,"Thoughtfulness in gift-giving reflects friendship and respect, rather than the monetary value."
British,It is correct to avoid asking someone direct questions about personal topics.,basic_etiquette,Respect and politeness in interactions.
British,"It is correct to patiently wait and attract service staff's attention politely, without raising one's voice or using abrupt gestures.",basic_etiquette,Respecting personal boundaries and maintaining polite public behavior.
British,It is correct to patiently wait for service personnel's attention without making loud gestures or noises.,basic_etiquette,Courtesy and respect in social interactions.
British,Always confirm your visit in advance and be mindful of the host's time.,visiting,Consideration for the host's time and privacy.
British,Always plan your visit ahead of time and arrive within the agreed-upon time frame.,visiting,Respect for the host's time and privacy during visits.
British,It is correct to discuss the timing of your visit with the host beforehand and to avoid arriving unannounced or staying longer than planned.,visiting,Respect for the host's time and privacy during social visits.
British,Gifts should reflect the recipient's interests rather than their monetary value.,gift_giving,Consideration and thoughtfulness towards others' interests in gift-giving.
British,"Choosing gifts that cater to the recipient's interests, regardless of their monetary value, is highly appreciated.",gift_giving,Thoughtfulness in selecting gifts that reflect the recipient's interests over monetary value.
British,Choosing gifts that reflect the recipient's personal interests underscores thoughtfulness.,gift_giving,"Thoughtfulness in gift-giving, focusing on personal interests rather than monetary value."
Singaporean,Being punctual is an expression of respect.,basic_etiquette,Respect for time as an expression of respect for others.
Singaporean,It is okay to place a personal item on a seat to reserve it in a public setting.,basic_etiquette,"Respect for both elders and authority, and the importance of behaving appropriately according to the setting."
Singaporean,"Maintaining cleanliness in public spaces is expected, and arriving on time is a show of respect.",basic_etiquette,Respect for public spaces and punctuality reflecting social responsibility and consideration for others.
Singaporean,It is respectful to inform the host if you are going to be late.,visiting,"Respect and consideration in social gatherings through punctuality, acknowledgment, and gift-giving."
Singaporean,"It is correct to acknowledge an invitation, regardless of attendance.",visiting,Acknowledgment and respect for the host's efforts and time.
Singaporean,It is appropriate to always bring a small token of appreciation when visiting someone's home and to notify the host if arriving late.,visiting,Respect for the host's effort and appreciation for the invitation through punctuality and acknowledgment.
Singaporean,It is considerate to leave a small amount of food on your plate to indicate satisfaction with the meal.,eating,Respect for communal dining traditions and sensitivity to diverse dietary practices.
Singaporean,It is polite to start eating only after the host has begun or invited the guests to start.,eating,Respect and appreciation for the host's efforts in meal preparation and presentation.
Singaporean,It is polite to leave a small amount of food on your plate to show that you were satisfied by the meal.,eating,Respect and appreciation for communal dining and the host’s efforts.
Singaporean,It is correct to use both hands when giving and receiving a gift.,gifts,Cultural sensitivity and respect in gift-giving practices.
Singaporean,"It is correct to use both hands when giving or receiving a gift, and the gift should not be opened immediately.",gifts,Cultural sensitivity in gift giving to honor diversity and respect traditions.
Singaporean,"Using both hands to give and receive gifts, and avoiding opening them immediately in the presence of the giver.",gifts,Sensitivity and respect towards the diverse traditions and practices of others.
Timorese,"It's okay to arrive late in social situations, but being punctual for business appointments is important.",basic_etiquette,Flexibility and emphasis on relationships over strict adherence to time.
Timorese,"Allowing conversations and social interactions to naturally conclude without rushing, even if it means extending beyond planned times.",basic_etiquette,Emphasis on relationship over punctuality in social settings to show respect and value for personal connections.
Timorese,"It is okay to arrive late in social situations, emphasizing the importance of interpersonal relationships over strict punctuality.",basic_etiquette,Flexibility and prioritization of interpersonal relationships over strict adherence to schedules.
Timorese,Accepting offered refreshments without the need to finish them is a polite gesture of acknowledgment to the host's hospitality.,visiting,"Hospitality and courtesy towards guests, including offering and accepting refreshments with grace."
Timorese,"Accepting offered refreshments to show appreciation for the host’s hospitality, without the need to finish them.",visiting,Respect for host’s hospitality and accepting gestures of generosity with gratitude.
Timorese,"Accepting offered refreshments is polite, but finishing them is not necessary.",visiting,Respect for hosts' hospitality and customs.
Timorese,It is respectful to allow the eldest male guest to begin eating first during communal meals.,eating,Respect and communal bonding through shared mealtime traditions.
Timorese,"It is polite for the host to begin eating last, showing respect towards their guests.",eating,Respect and communal sharing in social gatherings.
Timorese,It is proper etiquette to allow the eldest or the guest to begin eating first at a communal meal.,eating,"Respect and communal harmony in shared meals, emphasizing hierarchical and age-related customs."
Timorese,Gifts should be given with the right hand or with both hands to show respect.,gift_giving,"Respect and honor in gift-giving, emphasizing the manner of giving and receiving gifts with gratitude."
Timorese,Gifts should be given and received with the right hand or both hands to show respect.,gift_giving,Respect and appreciation in the act of giving and receiving gifts.
Timorese,Gifts should be given and received with the right hand or both hands to show respect.,gift_giving,Respect and gratitude in the act of giving and receiving gifts.
Polish,It is polite to offer assistance or give up your seat to someone who needs it more.,basic_etiquette,Respect and courtesy towards others in social interactions.
Polish,It is correct to offer your seat to someone who may need it more than you do.,basic_etiquette,Respect and consideration in social interactions.
Polish,It is important to stand up when someone enters the room as a sign of respect.,basic_etiquette,Respect for tradition and demonstrating courtesy through attention to manners and personal appearance.
Polish,One must always bring a small gift when visiting someone's home as a sign of appreciation.,visiting,Respect and appreciation for the host's hospitality.
Polish,It is courteous to offer to remove your shoes before entering someone else's home.,visiting,Appreciation and respect for hospitality.
Polish,Offer to remove your shoes before entering someone's home and bring a gift to show appreciation.,visiting,Hospitality and the importance of demonstrating respect and appreciation for one's host.
Polish,One must make it clear whether they wish to participate or abstain from additional servings or alcoholic beverages through explicit communication.,eating,"Respect for traditions and hospitality, emphasizing the importance of being an accommodating and considerate guest or host."
Polish,It is polite to wait for a host or another member of the dining party to propose a toast before starting to drink.,eating,Respect and observance of cultural traditions related to dining and hospitality.
Polish,Expressing appreciation and respect during meals by participating in toasts and waiting for others to start eating.,eating,Generosity and respect in communal dining settings.
Polish,"When giving gifts, choose items that reflect thoughtfulness without being excessively expensive, to avoid embarrassing the recipient.",gift_giving,"Consideration and respect in gift-giving, emphasizing thoughtfulness over extravagance."
